,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
131,Beirut Concert - Live Rare Recordings,2,4qwZh4qelw1Gk9KZlEQz7j,Konti Bent 3 Seneen,spotify:track:4qwZh4qelw1Gk9KZlEQz7j,0.489,0.552,0.85,0,0.205,-5.052,0.0694,111.478,0.637,8
132,Beirut Concert - Live Rare Recordings,3,0C3y1XgXmseCSALjbuwscF,Yalli Ta'ebna Seneen Fi Hawah Live,spotify:track:0C3y1XgXmseCSALjbuwscF,0.672,0.371,0.558,1.49e-05,0.378,-6.399,0.0677,148.457,0.494,7
133,Beirut Concert - Live Rare Recordings,4,33EOnWSO9LerUe6FOl9fqT,Quly Latkhbish Ya Zain,spotify:track:33EOnWSO9LerUe6FOl9fqT,0.51,0.455,0.811,0,0.128,-6.719,0.121,109.666,0.564,6
134,Beirut Concert - Live Rare Recordings,5,4cPkgFBUGw0QINQG2tnneS,Mijana wa Atabaa Live,spotify:track:4cPkgFBUGw0QINQG2tnneS,0.826,0.38,0.459,0.000651,0.23,-9.635,0.115,88.108,0.385,7
135,Beirut Concert - Live Rare Recordings,6,1eO5Az8GnKYzen7P65n15I,Ala Dalouna,spotify:track:1eO5Az8GnKYzen7P65n15I,0.558,0.407,0.628,9.78e-06,0.354,-6.525,0.123,98.926,0.477,9
136,Beirut Concert - Live Rare Recordings,7,5U0658yaRsferWohsxB9A3,Salasel Fada,spotify:track:5U0658yaRsferWohsxB9A3,0.643,0.309,0.893,0,0.827,-4.758,0.255,177.121,0.591,6
137,Canada Concert-Live Rare Recording,1,3tX4yHLfjujz3dmseSMD2q,Ya Masahrni,spotify:track:3tX4yHLfjujz3dmseSMD2q,0.859,0.517,0.656,0.000259,0.208,-4.731,0.0477,96.862,0.359,7
138,Canada Concert-Live Rare Recording,2,1fbFfRqyIB1aemAf462sfP,Habibi Yessa'd Awato,spotify:track:1fbFfRqyIB1aemAf462sfP,0.627,0.546,0.76,6.52e-05,0.122,-2.415,0.0432,107.3,0.381,5
139,Canada Concert-Live Rare Recording,3,79SwNTaEl6MHPorKiqQMZX,El Lalah Eid,spotify:track:79SwNTaEl6MHPorKiqQMZX,0.752,0.408,0.568,0,0.0444,-2.621,0.0371,109.302,0.302,4
140,Canada Concert-Live Rare Recording,4,0cfURK8dRxobhHnLf33Gf3,Daret Al Ayam,spotify:track:0cfURK8dRxobhHnLf33Gf3,0.693,0.389,0.509,0,0.135,-2.639,0.0384,109.347,0.259,4
141,Canada Concert-Live Rare Recording,5,0UncO4t5BFbl1LwR1F7rNS,Ansaak,spotify:track:0UncO4t5BFbl1LwR1F7rNS,0.349,0.358,0.517,0,0.329,-4.297,0.0368,119.024,0.404,5
142,Canada Concert-Live Rare Recording,6,5LLGW1zjOLrJk6AYF0lKTM,Arouh Lemeen,spotify:track:5LLGW1zjOLrJk6AYF0lKTM,0.844,0.32,0.797,0.00215,0.113,-3.196,0.0589,111.297,0.407,4
143,Canada Concert-Live Rare Recording,7,7FgKWYez6sJarbrgHLi7Ai,Awat Einy,spotify:track:7FgKWYez6sJarbrgHLi7Ai,0.283,0.251,0.494,0.066,0.292,-4.82,0.038,96.294,0.21,4
144,Kuwait Concert - LIVE Rare recording,1,0FbrsDoaX4rkojOtTEkQys,Al Atlal,spotify:track:0FbrsDoaX4rkojOtTEkQys,0.792,0.337,0.681,0.875,0.392,-4.741,0.0568,124.305,0.564,4
145,Kuwait Concert - LIVE Rare recording,2,0b7b5prFpW9SpLNX7sMyYm,Inta Omri,spotify:track:0b7b5prFpW9SpLNX7sMyYm,0.791,0.262,0.859,0.903,0.23,-6.2,0.188,138.433,0.424,4
146,Kuwait Concert - LIVE Rare recording,4,46cyvnrciTDh42cGmj0Qk8,La Tekoni Methi Gharik,spotify:track:46cyvnrciTDh42cGmj0Qk8,0.74,0.475,0.817,0.197,0.338,-5.636,0.0496,103.072,0.771,3
